# Created At: Thu Sep 25 2025 09:26:39 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=LDHB%2CPDHB%2CGSR%2CPDP1%2CFOXM1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,professional antigen presenting cell,57968,0.22%,PDHB,1.788008794987045,0.14953864213856943,989
adipose tissue,professional antigen presenting cell,57968,0.45%,GSR,1.7972157796223958,0.15297043940878163,2016
adipose tissue,professional antigen presenting cell,57968,0.18%,PDP1,1.786037970903822,0.14880404020571686,798
adipose tissue,professional antigen presenting cell,57968,0.08%,FOXM1,1.7516097005208333,0.13597129973770083,375
adipose tissue,secretory cell,2726,0.04%,LDHB,1.935743782388505,0.2046051537663306,199
adipose tissue,secretory cell,2726,0.01%,PDHB,1.9413448269084348,0.20669287847263984,59
adipose tissue,secretory cell,2726,0.03%,GSR,1.943309572007921,0.2074252145344587,144
adipose tissue,secretory cell,2726,0.01%,PDP1,1.7851770841158354,0.1484831545905035,26
adipose tissue,secretory cell,2726,0.01%,FOXM1,1.846832275390625,0.1714644156104065,25
adipose tissue,contractile cell,16234,0.34%,LDHB,1.8753640468544812,0.18209930415448294,1523
adipose tissue,contractile cell,16234,0.10%,PDHB,1.8558420580486918,0.17482270811938286,430
adipose tissue,contractile cell,16234,0.08%,GSR,1.8879301689040493,0.18678318112993506,355
adipose tissue,contractile cell,16234,0.04%,PDP1,1.8659791604066507,0.17860119603673336,195
adipose tissue,contractile cell,16234,0.01%,FOXM1,1.8803568522135417,0.18396031473292315,45
adipose tissue,myeloid leukocyte,65250,0.50%,LDHB,1.8084810026099822,0.15716942127182215,2239
adipose tissue,myeloid leukocyte,65250,0.23%,PDHB,1.8003441557216184,0.15413650549694344,1035
adipose tissue,myeloid leukocyte,65250,0.56%,GSR,1.7928485636377127,0.1513426100500666,2527
adipose tissue,myeloid leukocyte,65250,0.19%,PDP1,1.7883791099430124,0.14967667276481034,839
adipose tissue,myeloid leukocyte,65250,0.09%,FOXM1,1.7564854431152344,0.1377886765215696,400
adipose tissue,mature B cell,140,0.01%,LDHB,1.7132952459927262,0.12169002897785046,58
adipose tissue,mature B cell,140,0.00%,PDHB,1.5751239231654577,0.0701882629512625,14
adipose tissue,mature B cell,140,0.00%,GSR,1.5774933099746704,0.07107142454064025,8
adipose tissue,mature B cell,140,0.00%,PDP1,1.580424149831136,0.07216386127396869,3
adipose tissue,mature B cell,140,,FOXM1,,,
adipose tissue,memory B cell,125,0.01%,LDHB,1.7202374594552177,0.12427765892982559,56
adipose tissue,memory B cell,125,0.00%,PDHB,1.5427496910095215,0.058121141527884106,10
adipose tissue,memory B cell,125,0.00%,GSR,1.5772198268345423,0.07096948685627212,7
adipose tissue,memory B cell,125,0.00%,PDP1,1.4858689308166504,0.036919494594750954,1
adipose tissue,memory B cell,125,,FOXM1,,,
adipose tissue,alpha-beta T cell,20182,1.55%,LDHB,1.8614759828412026,0.17692268856784407,6968
adipose tissue,alpha-beta T cell,20182,0.10%,PDHB,1.6425639977615871,0.09532577246912052,445
adipose tissue,alpha-beta T cell,20182,0.07%,GSR,1.8065312780282288,0.15644268393464486,331
adipose tissue,alpha-beta T cell,20182,0.07%,PDP1,1.6281126957790109,0.08993921642943756,314
adipose tissue,alpha-beta T cell,20182,0.01%,FOXM1,1.716394910625383,0.12284539319819271,51
adipose tissue,mature alpha-beta T cell,17631,1.51%,LDHB,1.8569992824551074,0.17525405016200032,6794
adipose tissue,mature alpha-beta T cell,17631,0.08%,PDHB,1.5593932586756374,0.06432483930140515,353
adipose tissue,mature alpha-beta T cell,17631,0.04%,GSR,1.5948637032214505,0.07754603816146999,162
adipose tissue,mature alpha-beta T cell,17631,0.06%,PDP1,1.5874448178419427,0.07478073425342864,268
adipose tissue,mature alpha-beta T cell,17631,0.01%,FOXM1,1.5180258915342133,0.0489056305968828,29
adipose tissue,memory T cell,140,0.02%,LDHB,1.903538889699168,0.19260115167487576,77
adipose tissue,memory T cell,140,0.00%,PDHB,1.6441731770833334,0.09592557549067086,15
adipose tissue,memory T cell,140,0.00%,GSR,1.6303406953811646,0.09076967756905403,8
adipose tissue,memory T cell,140,0.00%,PDP1,1.555324673652649,0.06280832118733033,2
adipose tissue,memory T cell,140,,FOXM1,,,
adipose tissue,mononuclear cell,112156,2.71%,LDHB,1.8424527415802041,0.1698319949243008,12144
adipose tissue,mononuclear cell,112156,0.48%,PDHB,1.7601402233127321,0.13915095366243074,2154
adipose tissue,mononuclear cell,112156,0.78%,GSR,1.8296969830904468,0.1650774331542553,3491
adipose tissue,mononuclear cell,112156,0.35%,PDP1,1.7562957147155145,0.1377179574501224,1584
adipose tissue,mononuclear cell,112156,0.13%,FOXM1,1.7844163742740597,0.1481996087759047,565
adipose tissue,naive T cell,28,0.01%,LDHB,2.326135386591372,0.3501191189437157,23
adipose tissue,naive T cell,28,0.00%,PDHB,1.570662498474121,0.06852531838435187,3
adipose tissue,naive T cell,28,0.00%,GSR,1.8228256702423096,0.16251623058805673,2
adipose tissue,naive T cell,28,,PDP1,,,
adipose tissue,naive T cell,28,,FOXM1,,,
adipose tissue,lymphocyte of B lineage,16322,0.33%,LDHB,1.644964247881356,0.09622043800133204,1475
adipose tissue,lymphocyte of B lineage,16322,0.05%,PDHB,1.5770045100031673,0.07088922999222716,222
adipose tissue,lymphocyte of B lineage,16322,0.03%,GSR,1.679864215035724,0.10922899799729335,117
adipose tissue,lymphocyte of B lineage,16322,0.03%,PDP1,1.5982692641699874,0.0788154217033797,149
adipose tissue,lymphocyte of B lineage,16322,0.00%,FOXM1,1.7271745999654133,0.12686339799737653,12
adipose tissue,connective tissue cell,188588,2.80%,LDHB,1.7748726141616193,0.14464228233314314,12548
adipose tissue,connective tissue cell,188588,0.73%,PDHB,1.8068423583237767,0.1565586355248082,3270
adipose tissue,connective tissue cell,188588,0.81%,GSR,1.783204874629617,0.14774803626467248,3628
adipose tissue,connective tissue cell,188588,0.60%,PDP1,1.8167150401536314,0.16023856374183598,2685
adipose tissue,connective tissue cell,188588,0.20%,FOXM1,1.7809106310428178,0.14689288344426385,905
adipose tissue,progenitor cell,22033,0.14%,LDHB,1.780612564691462,0.14678178265161151,631
adipose tissue,progenitor cell,22033,0.07%,PDHB,1.7857718389026402,0.1487048425735556,303
adipose tissue,progenitor cell,22033,0.17%,GSR,1.817115509815705,0.16038783418677952,780
adipose tissue,progenitor cell,22033,0.09%,PDP1,1.792002684947021,0.15102731852991993,407
adipose tissue,progenitor cell,22033,0.03%,FOXM1,1.748100789388021,0.13466339360730858,120
adipose tissue,precursor cell,51326,0.55%,LDHB,1.7361557318239795,0.13021101125148174,2450
adipose tissue,precursor cell,51326,0.24%,PDHB,1.765061686809798,0.14098537238512865,1064
adipose tissue,precursor cell,51326,0.35%,GSR,1.7827017145486557,0.14756048915118075,1562
adipose tissue,precursor cell,51326,0.24%,PDP1,1.7617198887156016,0.13973975571132322,1072
adipose tissue,precursor cell,51326,0.08%,FOXM1,1.7820343189993821,0.14731172516222452,354
adipose tissue,mast cell,2725,0.04%,LDHB,1.935743782388505,0.2046051537663306,199
adipose tissue,mast cell,2725,0.01%,PDHB,1.9413448269084348,0.20669287847263984,59
adipose tissue,mast cell,2725,0.03%,GSR,1.943309572007921,0.2074252145344587,144
adipose tissue,mast cell,2725,0.01%,PDP1,1.7851770841158354,0.1484831545905035,26
adipose tissue,mast cell,2725,0.01%,FOXM1,1.846832275390625,0.1714644156104065,25
adipose tissue,epithelial cell,109540,0.78%,LDHB,1.7909412362184993,0.15063167576594438,3492
adipose tissue,epithelial cell,109540,0.56%,PDHB,1.7553313453960495,0.13735849991553403,2506
adipose tissue,epithelial cell,109540,0.74%,GSR,1.766882875598265,0.14166419948871753,3343
adipose tissue,epithelial cell,109540,0.25%,PDP1,1.764744357736555,0.1408670916351931,1111
adipose tissue,epithelial cell,109540,0.14%,FOXM1,1.7518160802236995,0.1360482253902325,644
adipose tissue,mesothelial cell,64233,0.48%,LDHB,1.753515533604352,0.13668167702543813,2137
adipose tissue,mesothelial cell,64233,0.34%,PDHB,1.727788269597114,0.12709213627057803,1542
adipose tissue,mesothelial cell,64233,0.44%,GSR,1.744219396071883,0.13321664904168842,1965
adipose tissue,mesothelial cell,64233,0.12%,PDP1,1.7593815935789234,0.13886818318407126,548
adipose tissue,mesothelial cell,64233,0.11%,FOXM1,1.7307885449803517,0.1282104542951945,501
adipose tissue,endothelial cell,45303,0.30%,LDHB,1.8492278376569424,0.17235733379934387,1354
adipose tissue,endothelial cell,45303,0.21%,PDHB,1.799388584754279,0.15378032744657305,964
adipose tissue,endothelial cell,45303,0.31%,GSR,1.7992005368967707,0.15371023477784107,1378
adipose tissue,endothelial cell,45303,0.13%,PDP1,1.7699642418544628,0.14281274320040585,563
adipose tissue,endothelial cell,45303,0.03%,FOXM1,1.825486189835555,0.16350790856288347,143
adipose tissue,endothelial cell of lymphatic vessel,6146,0.03%,LDHB,1.8442171697747218,0.17048966517153702,146
adipose tissue,endothelial cell of lymphatic vessel,6146,0.04%,PDHB,1.7993789300685976,0.15377672877390458,164
adipose tissue,endothelial cell of lymphatic vessel,6146,0.04%,GSR,1.8446279907226562,0.17064279393882675,200
adipose tissue,endothelial cell of lymphatic vessel,6146,0.03%,PDP1,1.7343547383292777,0.12953971171058135,122
adipose tissue,endothelial cell of lymphatic vessel,6146,0.01%,FOXM1,1.7680907871412195,0.1421144345765282,23
adipose tissue,monocyte,3769,0.03%,LDHB,1.820233642578125,0.16155008218936068,125
adipose tissue,monocyte,3769,0.01%,PDHB,1.8229544668486624,0.16256423803670575,66
adipose tissue,monocyte,3769,0.04%,GSR,1.8342221577962239,0.16676413980334567,168
