# Created At: Thu Sep 25 2025 08:53:49 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CPT1A%2CCPT2%2CSLC25A20%2CACADM%2CACADL%2CHADH%2CHADHA%2CHADHB%2CACAA2%2CPPARA%2CCD36%2CACOX1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,leukocyte,157117,,HADHA,,,
abdomen,leukocyte,157117,,HADHB,,,
abdomen,leukocyte,157117,,ACAA2,,,
abdomen,leukocyte,157117,,PPARA,,,
abdomen,leukocyte,157117,,CD36,,,
abdomen,leukocyte,157117,,ACOX1,,,
abdomen,lymphocyte,99147,,CPT1A,,,
abdomen,lymphocyte,99147,,CPT2,,,
abdomen,lymphocyte,99147,,SLC25A20,,,
abdomen,lymphocyte,99147,,ACADM,,,
abdomen,lymphocyte,99147,,ACADL,,,
abdomen,lymphocyte,99147,,HADH,,,
abdomen,lymphocyte,99147,,HADHA,,,
abdomen,lymphocyte,99147,,HADHB,,,
abdomen,lymphocyte,99147,,ACAA2,,,
abdomen,lymphocyte,99147,,PPARA,,,
abdomen,lymphocyte,99147,,CD36,,,
abdomen,lymphocyte,99147,,ACOX1,,,
abdomen,secretory cell,54007,,CPT1A,,,
abdomen,secretory cell,54007,,CPT2,,,
abdomen,secretory cell,54007,,SLC25A20,,,
abdomen,secretory cell,54007,,ACADM,,,
abdomen,secretory cell,54007,,ACADL,,,
abdomen,secretory cell,54007,,HADH,,,
abdomen,secretory cell,54007,,HADHA,,,
abdomen,secretory cell,54007,,HADHB,,,
abdomen,secretory cell,54007,,ACAA2,,,
abdomen,secretory cell,54007,,PPARA,,,
abdomen,secretory cell,54007,,CD36,,,
abdomen,secretory cell,54007,,ACOX1,,,
abdomen,mononuclear phagocyte,57793,,CPT1A,,,
abdomen,mononuclear phagocyte,57793,,CPT2,,,
abdomen,mononuclear phagocyte,57793,,SLC25A20,,,
abdomen,mononuclear phagocyte,57793,,ACADM,,,
abdomen,mononuclear phagocyte,57793,,ACADL,,,
abdomen,mononuclear phagocyte,57793,,HADH,,,
abdomen,mononuclear phagocyte,57793,,HADHA,,,
abdomen,mononuclear phagocyte,57793,,HADHB,,,
abdomen,mononuclear phagocyte,57793,,ACAA2,,,
abdomen,mononuclear phagocyte,57793,,PPARA,,,
abdomen,mononuclear phagocyte,57793,,CD36,,,
abdomen,mononuclear phagocyte,57793,,ACOX1,,,
abdomen,epithelial cell,55192,,CPT1A,,,
abdomen,epithelial cell,55192,,CPT2,,,
abdomen,epithelial cell,55192,,SLC25A20,,,
abdomen,epithelial cell,55192,,ACADM,,,
abdomen,epithelial cell,55192,,ACADL,,,
abdomen,epithelial cell,55192,,HADH,,,
abdomen,epithelial cell,55192,,HADHA,,,
abdomen,epithelial cell,55192,,HADHB,,,
abdomen,epithelial cell,55192,,ACAA2,,,
abdomen,epithelial cell,55192,,PPARA,,,
abdomen,epithelial cell,55192,,CD36,,,
abdomen,epithelial cell,55192,,ACOX1,,,
abdomen,cell,243313,,CPT1A,,,
abdomen,cell,243313,,CPT2,,,
abdomen,cell,243313,,SLC25A20,,,
abdomen,cell,243313,,ACADM,,,
abdomen,cell,243313,,ACADL,,,
abdomen,cell,243313,,HADH,,,
abdomen,cell,243313,,HADHA,,,
abdomen,cell,243313,,HADHB,,,
abdomen,cell,243313,,ACAA2,,,
abdomen,cell,243313,,PPARA,,,
abdomen,cell,243313,,CD36,,,
abdomen,cell,243313,,ACOX1,,,
abdomen,aggregated,243313,,CPT1A,,,
