# Created At: Thu Sep 25 2025 08:13:56 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=CTLA4%2CPDCD1%2CHAVCR2%2CLAG3%2CTOX&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,mature B cell,140,,CTLA4,,,
adipose tissue,mature B cell,140,,PDCD1,,,
adipose tissue,mature B cell,140,,HAVCR2,,,
adipose tissue,mature B cell,140,,LAG3,,,
adipose tissue,mature B cell,140,0.00%,TOX,1.6512987046014695,0.090144631846454,21
adipose tissue,memory B cell,125,,CTLA4,,,
adipose tissue,memory B cell,125,,PDCD1,,,
adipose tissue,memory B cell,125,,HAVCR2,,,
adipose tissue,memory B cell,125,,LAG3,,,
adipose tissue,memory B cell,125,0.00%,TOX,1.6512987046014695,0.090144631846454,21
adipose tissue,alpha-beta T cell,20182,0.50%,CTLA4,1.9615755208333334,0.19571915059121692,2250
adipose tissue,alpha-beta T cell,20182,0.05%,PDCD1,1.6853908070346766,0.10174478087174675,228
adipose tissue,alpha-beta T cell,20182,0.16%,HAVCR2,1.9233799809994905,0.1827227695366266,736
adipose tissue,alpha-beta T cell,20182,0.07%,LAG3,1.7165089440724206,0.11233301102664939,315
adipose tissue,alpha-beta T cell,20182,1.11%,TOX,2.204224074562726,0.2782825357490365,4974
adipose tissue,mature alpha-beta T cell,17631,0.50%,CTLA4,1.961850089822861,0.19581257519600578,2244
adipose tissue,mature alpha-beta T cell,17631,0.05%,PDCD1,1.6815835584974075,0.10044932980664519,223
adipose tissue,mature alpha-beta T cell,17631,0.08%,HAVCR2,1.7413131713867187,0.12077287576854434,360
adipose tissue,mature alpha-beta T cell,17631,0.06%,LAG3,1.688548098328293,0.1028190780522731,279
adipose tissue,mature alpha-beta T cell,17631,0.84%,TOX,2.0927257939549455,0.24034422808238037,3751
adipose tissue,memory T cell,140,0.00%,CTLA4,1.8405397203233507,0.15453561472503868,9
adipose tissue,memory T cell,140,0.00%,PDCD1,1.6079431013627485,0.07539249212037029,11
adipose tissue,memory T cell,140,0.00%,HAVCR2,1.857882022857666,0.160436491452542,8
adipose tissue,memory T cell,140,0.00%,LAG3,2.2859848022460936,0.3061023696064998,10
adipose tissue,memory T cell,140,0.00%,TOX,1.654388427734375,0.09119593834357653,17
adipose tissue,mononuclear cell,112156,0.63%,CTLA4,1.969482421875,0.1984095458401246,2810
adipose tissue,mononuclear cell,112156,0.10%,PDCD1,1.7921700456023755,0.1380773914116616,442
adipose tissue,mononuclear cell,112156,2.10%,HAVCR2,1.8487775613395225,0.15733861532089466,9425
adipose tissue,mononuclear cell,112156,0.15%,LAG3,1.798135098544034,0.14010705512050933,660
adipose tissue,mononuclear cell,112156,3.22%,TOX,2.250877880278891,0.29415691897209717,14468
adipose tissue,naive T cell,28,0.00%,CTLA4,1.8063575744628906,0.14290482760176032,5
adipose tissue,naive T cell,28,0.00%,PDCD1,1.5466028451919556,0.05452091008095496,1
adipose tissue,naive T cell,28,,HAVCR2,,,
adipose tissue,naive T cell,28,,LAG3,,,
adipose tissue,naive T cell,28,,TOX,,,
adipose tissue,lymphocyte of B lineage,16322,0.00%,CTLA4,1.8600268363952637,0.16116628383528936,2
adipose tissue,lymphocyte of B lineage,16322,0.00%,PDCD1,1.599902629852295,0.07265664830030616,3
adipose tissue,lymphocyte of B lineage,16322,0.02%,HAVCR2,1.687246883616728,0.10237632786995068,68
adipose tissue,lymphocyte of B lineage,16322,0.00%,LAG3,1.5881197452545166,0.0686474142687634,2
adipose tissue,lymphocyte of B lineage,16322,0.63%,TOX,2.0658190021407132,0.23118894657842706,2832
adipose tissue,connective tissue cell,188588,0.01%,CTLA4,1.7155793387934846,0.11201670434560841,53
