# Created At: Thu Sep 25 2025 10:10:00 GMT+0100 (British Summer Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=SLC9A1%2CSLC4A2%2CSLC4A3%2CCA2%2CCA9%2CCA4%2CSLC4A7%2CSLC4A4%2CSLC4A5&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adipose tissue,professional antigen presenting cell,57968,0.27%,SLC4A4,1.8433017483005276,0.11228813502979489,1232
adipose tissue,professional antigen presenting cell,57968,0.12%,SLC4A5,1.7548081503576454,0.09054141481637434,533
adipose tissue,secretory cell,2726,0.05%,SLC9A1,1.9307064700436283,0.13376727107199676,231
adipose tissue,secretory cell,2726,0.01%,SLC4A2,1.922276680929619,0.13169570578838358,57
adipose tissue,secretory cell,2726,0.00%,SLC4A3,1.3931584358215332,0.0016683738269406736,1
adipose tissue,secretory cell,2726,0.00%,CA2,1.8654972712198894,0.11774253894305274,3
adipose tissue,secretory cell,2726,0.00%,CA9,1.8444806337356567,0.11257783837916008,1
adipose tissue,secretory cell,2726,0.01%,CA4,1.821942647298177,0.10703927630661231,39
adipose tissue,secretory cell,2726,0.10%,SLC4A7,1.9618240567396312,0.14141421353253059,434
adipose tissue,secretory cell,2726,0.05%,SLC4A4,1.9590530043922811,0.14073324562642894,217
adipose tissue,secretory cell,2726,0.02%,SLC4A5,1.8256979654001635,0.10796212105442113,86
adipose tissue,contractile cell,16234,0.10%,SLC9A1,1.868311669360632,0.11843415879306049,435
adipose tissue,contractile cell,16234,0.06%,SLC4A2,1.902933591773153,0.12694226872934997,247
adipose tissue,contractile cell,16234,0.00%,SLC4A3,1.9606607610529119,0.14112834126139867,22
adipose tissue,contractile cell,16234,0.02%,CA2,1.7821608917622627,0.09726317128490654,79
adipose tissue,contractile cell,16234,0.00%,CA9,1.8918995576746322,0.12423072735298117,17
adipose tissue,contractile cell,16234,0.18%,CA4,2.0334905020435703,0.15902577155417527,799
adipose tissue,contractile cell,16234,0.56%,SLC4A7,1.973337913784585,0.14424366824512508,2530
adipose tissue,contractile cell,16234,0.50%,SLC4A4,1.9900904282874103,0.1483604886053884,2232
adipose tissue,contractile cell,16234,0.07%,SLC4A5,1.9103165140912577,0.12875657337670846,326
adipose tissue,myeloid leukocyte,65250,0.66%,SLC9A1,1.8062351060950237,0.10317925126834654,2944
adipose tissue,myeloid leukocyte,65250,0.21%,SLC4A2,1.785354451584155,0.09804796762662994,938
adipose tissue,myeloid leukocyte,65250,0.01%,SLC4A3,1.768989728844684,0.09402644454407681,46
adipose tissue,myeloid leukocyte,65250,0.05%,CA2,1.9202186233328975,0.13118995165724412,239
adipose tissue,myeloid leukocyte,65250,0.01%,CA9,1.8617315957712572,0.11681714894536266,43
adipose tissue,myeloid leukocyte,65250,0.18%,CA4,1.762756868053441,0.09249475996002532,821
adipose tissue,myeloid leukocyte,65250,4.22%,SLC4A7,1.9896013585807883,0.14824030293860566,18926
adipose tissue,myeloid leukocyte,65250,0.34%,SLC4A4,1.8643374623650333,0.11745752353793967,1505
adipose tissue,myeloid leukocyte,65250,0.14%,SLC4A5,1.7689543317078025,0.09401774593027859,628
adipose tissue,mature B cell,140,0.00%,SLC9A1,1.5131641626358032,0.031158992648005524,1
adipose tissue,mature B cell,140,0.00%,SLC4A2,1.5356438159942627,0.036683219749683874,1
